Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuite1,,,,2019-12-11 18:36:40,2019-12-11 18:36:43,3.393s,FAILED
,,,,,,,
Test Cases/Login/Test3,,,,2019-12-11 18:36:40,2019-12-11 18:36:43,3.161s,FAILED
Start listener action : onTestCaseStart,,,,2019-12-11 18:36:40,2019-12-11 18:36:40,0.002s,PASSED
"openBrowser(""http://lifecharger.org/"")",,,,2019-12-11 18:36:40,2019-12-11 18:36:43,2.612s,FAILED
"click(findTestObject(""Object Repository/Test3_OR/h2_Make the rest of your life the best of your life""))",,,,2019-12-11 18:36:43,2019-12-11 18:36:43,0.111s,FAILED
"setText(findTestObject(""Object Repository/Test3_OR/input_Search for_s""), ""life"")",,,,2019-12-11 18:36:43,2019-12-11 18:36:43,0.075s,FAILED
"verifyElementPresent(findTestObject(""Object Repository/Test3_OR/a_Home""), 4)",,,,2019-12-11 18:36:43,2019-12-11 18:36:43,0.067s,FAILED
closeBrowser(),,,,2019-12-11 18:36:43,2019-12-11 18:36:43,0.008s,PASSED
Start listener action : sampleAfterTestCase,,,,2019-12-11 18:36:43,2019-12-11 18:36:43,0.001s,PASSED
Start listener action : sampleAfterTestCase,,,,2019-12-11 18:36:43,2019-12-11 18:36:43,0.001s,PASSED
